Employee ID,Position Title,Department,Annual Salary,Review Score
45288,DOMESTIC VIOLENCE ADVOCATE,FAMILY & SUPPORT,43867,7.5
45291,POLICE OFFICER,POLICE,66219,6.9
45295,POLICE OFFICER,POLICE,61199,6.8
45297,POLICE OFFICER,POLICE,64087,6.7
45298,EQUIPMENT DISPATCHER,SANITATION,56801,7.4
45299,POLICE OFFICER,POLICE,61790,6.6
45300,ASST CORPORATION COUNSEL,LAW,49176,7.8
45305,POLICE OFFICER,POLICE,34465,5.4
45306,SANITATION LABORER,SANITATION,55855,5.5
45307,BATTALION CHIEF - EMT,FIRE,103115,8.6
45308,CIVIL ENGINEER III,WATER MGMT,71371,6.5
45309,LIEUTENANT-PARAMEDIC,FIRE,81406,7.2
45315,MOTOR TRUCK DRIVER,WATER MGMT,55446,7.2
45316,POLICE OFFICER,POLICE,61686,6.3
45317,LIEUTENANT-EMT,FIRE,77220,8
45318,ASST CORPORATION COUNSEL,LAW,84097,7.8
45321,TREE TRIMMER,SANITATION,57714,8
45323,FIREFIGHTER,FIRE,61706,7.5
45327,HEAD LIBRARY CLERK,PUBLIC LIBRARY,44434,7.3
45334,BATTALION CHIEF - EMT,FIRE,100679,6.4
45339,SAFETY ADMINISTRATOR,SANITATION,64619,6
45341,POLICE OFFICER,POLICE,59842,7.5
45342,FIREFIGHTER-EMT,FIRE,62127,5.2
45344,ASST TO THE EXEC DIR,EMERGENCY MGMT,47981,4.3
45347,CHIEF ASST CORPORATION COUNSEL,LAW,97695,5.3
45349,POLICE OFFICER,POLICE,48642,5.3
45350,OPERATING ENGINEER-GROUP C,WATER MGMT,71717,5.5
45351,HOISTING ENGINEER,WATER MGMT,75068,6
45352,ANIMAL CARE AIDE II,ANIMAL CONTRL,38443,5.8
45353,POLICE OFFICER,POLICE,61277,6.1
45356,DIR OF MAINTENANCE OPERATIONS,GENERAL SERVICES,78331,7.4
45357,POLICE OFFICER,POLICE,59358,5
45358,POLICE OFFICER,POLICE,59626,8
45362,POLICE OFFICER,POLICE,63438,8.3
45363,SERGEANT,POLICE,77581,5.5
45367,DIR OF MARKETING,AVIATION,92444,8.2
45368,ELECTRICAL MECHANIC,GENERAL SERVICES,70114,6.7
45373,PERSONAL COMPUTER OPERATOR II,TRANSPORTATION,42205,6.4
45376,FIRE ENGINEER-EMT,FIRE,76988,4.7
45381,SENIOR DATA ENTRY OPERATOR,AVIATION,41977,7.2
45386,MOTOR TRUCK DRIVER,WATER MGMT,55465,6.1
45389,LIEUTENANT,POLICE,96302,5.6
45396,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,67000,8
45399,CONSTRUCTION LABORER,WATER MGMT,60819,6.2
45403,POLICE OFFICER,POLICE,61423,6.5
45404,POLICE OFFICER,POLICE,67886,7.3
45408,POLICE OFFICER,POLICE,59905,6.7
45409,FIREFIGHTER-EMT,FIRE,64919,8.6
45419,CONSTRUCTION LABORER,WATER MGMT,60303,7
45424,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,71211,4.4
45431,POLICE OFFICER,POLICE,65665,4
45434,FIREFIGHTER-EMT,FIRE,64754,6.6
45435,FOREMAN OF ELECTRICAL MECHANICS,AVIATION,75345,5.2
45445,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,71589,8.2
45452,POLICE OFFICER,POLICE,65561,7.6
45453,CROSSING GUARD,POLICE,16939,5.7
45454,POLICE OFFICER,POLICE,59428,8.5
45455,CAPTAIN-EMT,FIRE,94796,6.7
45459,COMMUNICATIONS OPERATOR I - 311,EMERGENCY MGMT,41580,6.8
45462,ASST CORPORATION COUNSEL SUPVSR,LAW,71290,5.9
45463,FIREFIGHTER-EMT,FIRE,62382,6.7
45469,POLICE OFFICER,POLICE,61625,7.7
45476,POLICE OFFICER,POLICE,49096,5.8
45477,CONSTRUCTION LABORER,WATER MGMT,60572,8.1
45478,POLICE OFFICER,POLICE,51675,6.9
45480,POLICE OFFICER,POLICE,59472,7.5
45484,CROSSING GUARD,POLICE,15803,5.5
45485,FIREFIGHTER-EMT,FIRE,62154,7.3
45486,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,71353,6.2
45487,POLICE OFFICER,POLICE,61331,8.8
45492,CONSTRUCTION LABORER,WATER MGMT,60672,7.4
45493,TREE TRIMMER,SANITATION,57956,6.7
45496,POLICE OFFICER,POLICE,61385,7.2
45500,BATTALION CHIEF - EMT,FIRE,103757,7.7
45502,OFFICE ADMINISTRATOR,BUSINESS AFFAIRS,47230,6.4
45504,ADMINISTRATIVE ASST III,POLICE,57593,6.5
45506,POLICE OFFICER,POLICE,59295,6.9
45516,POLICE OFFICER,POLICE,63787,5.8
45518,POLICE OFFICER,POLICE,63663,7.7
45521,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,35036,6.9
45523,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16350,5.6
45525,LIBRARIAN IV,PUBLIC LIBRARY,61949,7.3
45526,POLICE OFFICER,POLICE,61872,5.4
45531,POLICE OFFICER,POLICE,48412,5.9
45534,LIBRARIAN I,PUBLIC LIBRARY,54847,6.4
45536,POLICE OFFICER,POLICE,61569,6.9
45538,FIREFIGHTER-EMT,FIRE,64702,5.4
45541,POLICE OFFICER,POLICE,63787,4.9
45542,POLICE OFFICER,POLICE,59626,7.8
45548,POLICE OFFICER,POLICE,61776,6.4
45549,HOISTING ENGINEER,TRANSPORTATION,67877,4.7
45553,DISPATCH CLERK,ANIMAL CONTRL,50282,7.3
45554,ASST PAYROLL ADMINISTRATOR,FINANCE,55661,3.7
45556,POLICE OFFICER,POLICE,61704,6.1
45560,PROPERTY CUSTODIAN - AUTO POUND,SANITATION,41875,7.2
45563,CLAIMS MANAGER,LAW,83637,5.1
45567,POLICE OFFICER,POLICE,63231,5.9
45568,POLICE OFFICER,POLICE,63446,5.3
45572,SERGEANT,POLICE,82674,6.1
45574,POLICE OFFICER,POLICE,61288,6.9
45576,POLICE OFFICER,POLICE,68200,6
45577,AUDITOR IV,FINANCE,85362,7.4
45578,POLICE OFFICER,POLICE,61136,7.3
45581,POLICE OFFICER,POLICE,34697,5.3
45583,POLICE OFFICER,POLICE,63211,6.2
45584,SANITATION LABORER,SANITATION,55877,5.4
45590,POLICE COMMUNICATIONS OPERATOR I,EMERGENCY MGMT,50680,6
45593,CONTRACTS COORD,POLICE,60359,6.8
45595,SERGEANT,POLICE,77990,8.6
45596,POLICE OFFICER,POLICE,59076,5.7
45599,POLICE OFFICER,POLICE,61949,4.8
45600,POLICE OFFICER,POLICE,64007,6.3
45603,POLICE OFFICER,POLICE,64047,6.2
45605,POLICE OFFICER,POLICE,63563,6.8
45607,POLICE OFFICER,POLICE,63222,5.6
45612,POLICE OFFICER,POLICE,48403,7.5
45617,POLICE OFFICER,POLICE,63458,7.3
45618,PERSONAL ASSISTANT,SANITATION,57787,7
45627,FINANCE OFFICER,HEALTH,64452,7.4
45628,FIRE ENGINEER-EMT,FIRE,74534,6.1
45629,PROJECT COORD,COMMUNITY DEVELOPMENT,58131,6.7
45633,AMBULANCE COMMANDER,FIRE,88193,6.1
45639,BRIDGE OPERATOR,TRANSPORTATION,47617,5.3
45640,FIREFIGHTER,FIRE,69032,8.8
45643,POLICE OFFICER,POLICE,61851,6.4
45645,POLICE OFFICER,POLICE,63237,8.1
45649,POLICE OFFICER,POLICE,59179,8.1
45650,ASST SERGEANT AT ARMS,CITY COUNCIL,44146,6.3
45661,POLICE OFFICER,POLICE,59021,7.7
45666,MOTOR TRUCK DRIVER,SANITATION,55986,6
45674,SHIFT SUPVSR OF AVIATION SECURITY,AVIATION,70046,6.9
45678,COMMITTEE SECRETARY,CITY COUNCIL,42635,6.9
45681,POLICE OFFICER,POLICE,63169,6.7
45682,FIREFIGHTER-EMT,FIRE,64553,6.5
45687,HOISTING ENGINEER - MECHANIC,GENERAL SERVICES,79893,6.3
45688,MOTOR TRUCK DRIVER,SANITATION,55849,7
45691,GARAGE ATTENDANT,GENERAL SERVICES,36413,7
45696,SENIOR PERSONNEL ASSISTANT,FAMILY & SUPPORT,50664,5.6
45700,MOTOR TRUCK DRIVER,SANITATION,55937,7.1
45706,POOL MOTOR TRUCK DRIVER,SANITATION,55227,6.9
45707,HOUSE DRAIN INSPECTOR,WATER MGMT,77362,5.1
45708,POLICE OFFICER,POLICE,61451,6.6
45712,SERGEANT,POLICE,80809,5.8
45713,POLICE OFFICER,POLICE,67819,7.4
45714,POLICE OFFICER,POLICE,59277,4.5
45716,POLICE OFFICER,POLICE,63897,6.9
45717,SERGEANT,POLICE,82986,6
45719,POLICE OFFICER,POLICE,63359,8.2
45726,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,70653,8.3
45728,LIBRARY PAGE,PUBLIC LIBRARY,10882,5.1
45734,ATTORNEY,BUSINESS AFFAIRS,39844,8.1
45736,POLICE COMMUNICATIONS OPERATOR II,EMERGENCY MGMT,55607,5.8
45738,ASST PROJECT DIR,GENERAL SERVICES,72018,6.3
45739,FIREFIGHTER-EMT,FIRE,66802,7.9
45741,LIEUTENANT,FIRE,80614,6.2
45743,SERGEANT,POLICE,80064,7.2
45748,FIREFIGHTER-EMT,FIRE,62000,7.5
45754,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,46714,7.2
45755,CAPTAIN-EMT,FIRE,94646,7.1
45756,POLICE OFFICER,POLICE,63520,6.6
45757,FIREFIGHTER,FIRE,63128,7.7
45759,SERGEANT,POLICE,78190,5.1
45764,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,68378,4.9
45765,POLICE OFFICER,POLICE,63841,5.6
45767,SUPVSR OF ANIMAL CONTROL OFFICERS,ANIMAL CONTRL,47101,6.8
45773,SERGEANT,POLICE,78064,6.9
45774,CLERK III,POLICE,42075,6.2
45776,LINEMAN,TRANSPORTATION,73189,6
45778,POLICE OFFICER,POLICE,49096,7.8
45780,CAPTAIN-EMT,FIRE,92494,6
45782,PAINTER,SANITATION,66542,6.3
45785,HUMAN SERVICE SPECIALIST II,FAMILY & SUPPORT,55140,6
45786,POLICE OFFICER,POLICE,63523,6
45787,POLICE OFFICER,POLICE,48967,6.2
45788,SUPERVISING POLICE COMMUNICATIONS OPERATOR,EMERGENCY MGMT,72255,4.5
45789,POOL MOTOR TRUCK DRIVER,SANITATION,44615,5.8
45792,POLICE OFFICER,POLICE,61330,6.5
45794,POLICE OFFICER,POLICE,61026,6.9
45795,POLICE OFFICER,POLICE,63919,6.3
45796,POLICE OFFICER,POLICE,61919,5.8
45799,POLICE OFFICER,POLICE,63623,8.5
45802,PARALEGAL II,LAW,50422,5.7
45804,LIEUTENANT-EMT,FIRE,79952,5
45807,CAPTAIN-EMT,FIRE,94464,7.2
45808,POLICE OFFICER,POLICE,66386,5.4
45811,POLICE OFFICER,POLICE,67558,5.7
45813,ADMINISTRATIVE ASST II,LAW,46207,7.6
45814,ELECTRICAL MECHANIC,WATER MGMT,70276,6.2
45815,POLICE OFFICER,POLICE,63170,6.1
45816,LABORER,TRANSPORTATION,60393,6.8
45820,MOTOR TRUCK DRIVER,WATER MGMT,55715,5.3
45821,POLICE OFFICER,POLICE,61736,7.9
45823,STAFF ASST,BUILDINGS,49191,7.2
45824,POLICE OFFICER,POLICE,51683,6.3
45829,MOTOR TRUCK DRIVER,SANITATION,55929,5.4
45831,SENIOR COMPANION,FAMILY & SUPPORT,3334,7.3
45832,POLICE OFFICER,POLICE,61731,6
45833,WATER METER MACHINIST,WATER MGMT,61286,6.5
45837,PARAMEDIC,FIRE,64057,7
45838,SERGEANT,POLICE,83243,7.1
45839,ADMINISTRATIVE ASST,MAYOR'S OFFICE,37435,8.5
45840,SERGEANT,POLICE,77928,8.4
45845,POLICE OFFICER,POLICE,63371,7
45849,POLICE OFFICER,POLICE,66255,6.9
45850,POLICE OFFICER,POLICE,67790,7
45851,TIMEKEEPER - CPD,POLICE,54643,5.9
45852,POLICE OFFICER,POLICE,63931,5.2
45868,POLICE OFFICER,POLICE,62009,6.1
45869,FOREMAN OF PLUMBERS,WATER MGMT,78417,6.5
45873,POLICE OFFICER,POLICE,63204,6.7
45880,SERVICE WRITER,GENERAL SERVICES,47505,6.9
45881,MANAGER OF 311 OPERATIONS,EMERGENCY MGMT,85256,6.7
45890,POLICE OFFICER,POLICE,61108,7.5
45891,PARAMEDIC I/C,FIRE,63828,7.3
45893,FIRE ENGINEER-EMT,FIRE,74703,6.7
45895,FIREFIGHTER-EMT,FIRE,66942,5.6
45899,POLICE OFFICER,POLICE,59454,6.3
45901,FIREFIGHTER,FIRE,68465,6.1
45902,AVIATION COMMUNICATIONS OPERATOR,EMERGENCY MGMT,52653,6
45904,AIRPORT OPERATIONS SUPVSR I,AVIATION,47325,7.4
45909,POLICE OFFICER,POLICE,63217,4.8
45910,LABORER,AVIATION,51395,6.7
45914,POLICE OFFICER,POLICE,63218,7.2
45915,POLICE OFFICER,POLICE,59701,5.7
45917,POLICE OFFICER,POLICE,63639,7.7
45920,LIBRARIAN I,PUBLIC LIBRARY,55299,6.5
45922,SERVICE WRITER,GENERAL SERVICES,48001,8
45925,HOISTING ENGINEER,TRANSPORTATION,75023,4.8
45927,LIEUTENANT,POLICE,95501,5.1
45933,AVIATION COMMUNICATIONS OPERATOR,EMERGENCY MGMT,52310,5.4
45935,POLICE COMMUNICATIONS OPERATOR II,EMERGENCY MGMT,60108,6.9
45938,POLICE OFFICER,POLICE,63623,5.7
45943,PERSONAL COMPUTER OPERATOR I,POLICE,40545,4
45945,FIREFIGHTER-EMT,FIRE,64297,6.4
45946,POLICE OFFICER,POLICE,67429,7.7
45951,FIELD SUPVSR I - PARKING ENFORCEMENT,FINANCE,38345,5.5
45953,FIRE ENGINEER-EMT,FIRE,70055,5.9
45955,POLICE OFFICER,POLICE,63645,8
45963,POLICE OFFICER,POLICE,51127,5.5
45966,PARAMEDIC,FIRE,59565,7.4
45967,PROGRAM AIDE,POLICE,8233,6.3
45974,PLUMBER,WATER MGMT,74889,6.6
45981,FIREFIGHTER,FIRE,61975,6.5
45983,POOL MOTOR TRUCK DRIVER,SANITATION,55916,5.8
45985,PLUMBER,WATER MGMT,75022,5.7
45988,POLICE OFFICER,POLICE,63693,6.7
45989,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,65932,7.4
45992,FOREMAN OF MOTOR TRUCK DRIVERS,SANITATION,58142,6.8
45993,FIREFIGHTER-EMT,FIRE,64637,5
45994,FIREFIGHTER,FIRE,59205,5.9
45999,POLICE OFFICER,POLICE,65680,6.4
46000,SERGEANT,POLICE,80238,7.1
46001,POLICE OFFICER(ASGND AS LATENT PRINT EX),POLICE,66256,6.2
46002,FIREFIGHTER-EMT,FIRE,62071,8.3
46004,POLICE OFFICER,POLICE,63356,7.1
46007,CONSTRUCTION LABORER,WATER MGMT,61133,7.9
46010,CLERK IV,GENERAL SERVICES,47831,7.4
46014,POLICE OFFICER,POLICE,63347,6.3
46015,LIBRARIAN I,PUBLIC LIBRARY,49617,7
46020,POLICE OFFICER,POLICE,63187,5.9
46022,LIEUTENANT,FIRE,78378,7.7
46023,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,71428,5.6
46026,POLICE OFFICER,POLICE,63859,4.6
46028,POLICE OFFICER,POLICE,68012,6
46029,LIEUTENANT-EMT,FIRE,82490,5.4
46031,ADMINISTRATIVE SERVICES OFFICER II,ANIMAL CONTRL,67011,6.6
46036,ASST CORPORATION COUNSEL,LAW,74288,6.7
46040,SERGEANT,POLICE,83349,5.3
46041,FIRE ENGINEER-EMT,FIRE,74616,5.8
46050,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,19435,6.6
46053,POLICE OFFICER,POLICE,53736,5.6
46054,SERGEANT,POLICE,80087,6.2
46055,POLICE OFFICER,POLICE,59745,8.4
46056,FIREFIGHTER-EMT,FIRE,62824,7.6
46058,POLICE OFFICER,POLICE,63534,7.2
46059,SUPERVISING TIMEKEEPER,LAW,38479,7.6
46060,WATCHMAN,WATER MGMT,35108,7.4
46063,POLICE OFFICER,POLICE,59680,5.7
46065,POLICE OFFICER,POLICE,63477,5.6
46067,FIREFIGHTER-EMT,FIRE,64871,6.2
46068,POLICE OFFICER,POLICE,61600,6.3
46074,SERGEANT,POLICE,83407,7.2
46075,POLICE OFFICER,POLICE,63461,8.8
46076,SIGN HANGER,TRANSPORTATION,51156,6.6
46077,MOTOR TRUCK DRIVER,SANITATION,56158,6.1
46079,POLICE OFFICER,POLICE,61410,5
46082,POLICE OFFICER,POLICE,61765,6.2
46083,SANITATION LABORER,SANITATION,55640,5.9
46085,HOISTING ENGINEER,WATER MGMT,75308,6.6
46087,POLICE OFFICER,POLICE,66304,5.5
46090,PLUMBER,WATER MGMT,74912,8
46092,SENIOR DATA ENTRY OPERATOR,POLICE,43902,6
46093,POOL MOTOR TRUCK DRIVER,SANITATION,55779,5.1
46094,PARAMEDIC FIELD CHIEF,FIRE,99100,5.7
46095,POLICE OFFICER,POLICE,63998,6.6
46105,POLICE OFFICER,POLICE,63141,7.8
46106,SERGEANT,POLICE,80410,5.5
46111,SANITATION LABORER,SANITATION,55605,6.3
46129,POLICE OFFICER,POLICE,65512,5.8
46131,MOTOR TRUCK DRIVER,AVIATION,55668,5.6
46133,FIREFIGHTER-EMT,FIRE,64588,5.8
46135,POLICE OFFICER,POLICE,63137,7.7
46137,SERGEANT,POLICE,77617,5.4
46138,LIBRARY CLERK,PUBLIC LIBRARY,35305,6
46139,TREE TRIMMER,SANITATION,58017,5.2
46145,MOTOR TRUCK DRIVER,SANITATION,56414,6.4
46146,LIBRARIAN IV,PUBLIC LIBRARY,72006,7.5
46147,AVIATION SECURITY OFFICER,AVIATION,55568,5.7
46149,MANAGER OF VEHICLE MAINTENANCE,GENERAL SERVICES,69976,5.8
46151,PARAMEDIC,FIRE,51224,4.4
46152,POLICE OFFICER,POLICE,59139,4.2
46157,HOSPITALITY WORKER,FAMILY & SUPPORT,9209,6.8
46158,MEDICAL DIR,HEALTH,116031,3.6
46160,POLICE OFFICER,POLICE,66059,5.9
46161,POLICE OFFICER,POLICE,59064,5.8
46163,POLICE OFFICER,POLICE,64043,7.4
46164,POLICE OFFICER,POLICE,65529,7.4
46165,SERGEANT,POLICE,82527,5.8
46166,CLERK II,FAMILY & SUPPORT,30500,5
46169,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,68292,6.1
46171,TRAINING DIRECTOR,AVIATION,52396,6.2
46174,FIREFIGHTER-EMT,FIRE,62605,7.3
46177,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,15978,7.4
46182,POLICE COMMUNICATIONS OPERATOR II,EMERGENCY MGMT,50749,5.5
46189,SERGEANT,POLICE,80085,6.5
46194,POLICE OFFICER,POLICE,59932,5.8
46195,POLICE OFFICER,POLICE,61678,4.6
46198,CONSTRUCTION LABORER,WATER MGMT,61160,5.1
46199,SENIOR COMPANION,FAMILY & SUPPORT,3970,7.1
46204,POLICE OFFICER,POLICE,63711,8.9
46205,POLICE OFFICER,POLICE,67776,8.9
46209,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,15995,8.3
46210,ADMINISTRATIVE ASST II,BUILDINGS,42229,6.3
46213,BRIDGE OPERATOR,TRANSPORTATION,34385,5.7
46215,POLICE OFFICER,POLICE,61491,4.8
46220,MOTOR TRUCK DRIVER,SANITATION,55340,5.7
46226,FIREFIGHTER-EMT,FIRE,62838,8
46227,POLICE OFFICER,POLICE,63574,6
46235,POLICE OFFICER,POLICE,61880,5.9
46236,FIREFIGHTER,FIRE,68708,8.5
46238,POLICE OFFICER,POLICE,59060,6.3
46241,POLICE OFFICER,POLICE,67456,4.6
46252,PARAMEDIC I/C,FIRE,68538,5.5
46255,FIREFIGHTER-EMT,FIRE,66939,7.5
46257,CONSTRUCTION LABORER,WATER MGMT,60977,6
46258,PORTFOLIO MANAGER,TREASURER,51034,8.2
46261,MACHINIST (AUTO) POLICE MOTOR MAINT,GENERAL SERVICES,72174,5.1
46263,CONTRACTS REVIEW SPECIALIST II,POLICE,55575,6.7
46268,POLICE OFFICER,POLICE,63237,6.5
46269,FIELD SERVICE SPECIALIST II,TRANSPORTATION,57548,8.1
46270,POLICE OFFICER,POLICE,67703,7.1
46271,LAW CLERK,LAW,21192,4.3
46275,POLICE OFFICER,POLICE,59276,7.9
46276,POLICE OFFICER,POLICE,65878,7.7
46278,POLICE OFFICER,POLICE,65655,6.1
46281,POLICE OFFICER,POLICE,63857,6.5
46282,POLICE OFFICER,POLICE,61656,5.5
46283,OPERATIONS ANALYST,FINANCE,54320,6.1
46285,POLICE OFFICER,POLICE,61167,6.3
46288,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,43941,5.9
46293,POLICE OFFICER,POLICE,65799,5.8
46297,POLICE OFFICER,POLICE,51470,6.7
46303,POLICE OFFICER,POLICE,61113,5.3
46305,POOL MOTOR TRUCK DRIVER,PUBLIC LIBRARY,55197,5.5
46307,FIRE ENGINEER-EMT,FIRE,71721,5.1
46308,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,68425,7
46311,POLICE OFFICER,POLICE,51873,7
46313,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16165,6.3
46315,POLICE OFFICER,POLICE,61248,6.9
46317,MOTOR TRUCK DRIVER,WATER MGMT,55531,6.1
46318,POLICE OFFICER,POLICE,61646,7
46319,SERGEANT,POLICE,82566,7.4
46321,POLICE OFFICER,POLICE,51517,6.9
46323,POOL MOTOR TRUCK DRIVER,WATER MGMT,56065,7.7
46328,PLUMBER,WATER MGMT,75286,6.7
46329,POLICE OFFICER,POLICE,61431,7.7
46332,FIREFIGHTER,FIRE,40781,7.3
46334,OPERATING ENGINEER-GROUP C,AVIATION,72070,8.2
46336,SERGEANT,POLICE,80450,6
46337,LEGISLATIVE ASST,MAYOR'S OFFICE,56411,6.3
46339,POLICE OFFICER,POLICE,59946,7.7
46343,FOREMAN OF MOTOR TRUCK DRIVERS,SANITATION,58137,6.3
46352,POLICE OFFICER,POLICE,59430,3.9
46353,CONSTRUCTION LABORER,WATER MGMT,60223,6.3
46356,FIREFIGHTER-EMT,FIRE,62589,7.4
46361,COMMUNITY SERVICES REPRESENTATIVE,TRANSPORTATION,66417,6.2
46362,SERGEANT,POLICE,77569,4.6
46366,POLICE OFFICER,POLICE,59236,7
46367,CONSTRUCTION LABORER,WATER MGMT,60615,5.8
46369,FOREMAN OF LABORERS,SANITATION,62080,6.3
46372,FIREFIGHTER,FIRE,40557,6.1
46375,VENTILATION AND FURNACE INSPECTOR,BUILDINGS,73091,6.6
46378,REPROGRAPHICS TECHNICIAN II,GENERAL SERVICES,30387,5.8
46379,POLICE OFFICER,POLICE,59157,5.9
46382,CONSTRUCTION LABORER,WATER MGMT,60209,3.9
46383,POLICE OFFICER,POLICE,63698,6.7
46384,SANITATION LABORER,SANITATION,55673,7
46387,POLICE OFFICER,POLICE,59910,6.7
46400,PUBLIC VEHICLE INSPECTOR,BUSINESS AFFAIRS,49848,7.1
46404,POLICE OFFICER,POLICE,61580,6.1
46406,FIREFIGHTER-EMT,FIRE,61928,8.5
46414,SENIOR COMPANION,FAMILY & SUPPORT,3149,5.9
46417,ADMINISTRATIVE ASST II,FAMILY & SUPPORT,42220,7.1
46418,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,69439,5.1
46419,POLICE OFFICER,POLICE,61699,7.3
46423,POLICE OFFICER,POLICE,66014,5.5
46425,FIREFIGHTER-EMT,FIRE,64009,6.4
46442,POLICE OFFICER,POLICE,59690,7.7
46452,POLICE OFFICER,POLICE,63685,5.3
46453,POLICE OFFICER,POLICE,59539,4.6
46454,COMMUNICATIONS OPERATOR I - 311,EMERGENCY MGMT,42029,6.4
46457,POOL MOTOR TRUCK DRIVER,AVIATION,56121,7.1
46459,POLICY ANALYST,HEALTH,51505,8.1
46460,POLICE OFFICER,POLICE,59543,6.4
46464,POLICE OFFICER,POLICE,62007,4.7
46465,POLICE OFFICER,POLICE,61857,6.6
46476,FIREFIGHTER-EMT,FIRE,62220,6.1
46485,POOL MOTOR TRUCK DRIVER,SANITATION,55628,6.1
46489,PUBLIC HEALTH NURSE IV,HEALTH,79181,7.1
46491,PARAMEDIC,FIRE,59038,6.9
46502,POLICE OFFICER,POLICE,61250,5.7
46506,MOTOR TRUCK DRIVER,SANITATION,55481,7.8
46507,FIREFIGHTER-EMT,FIRE,64730,5
46509,SANITATION LABORER,SANITATION,51101,6.2
46511,FIREFIGHTER,FIRE,40633,4.2
46517,POLICE OFFICER,POLICE,34390,6.3
46523,POOL MOTOR TRUCK DRIVER,SANITATION,56025,6.3
46528,POLICE OFFICER,POLICE,67963,7.2
46532,POLICE OFFICER,POLICE,66225,7.6
46533,SANITATION LABORER,SANITATION,55649,7.6
46535,PROGRAMMER/ANALYST PER AGRMNT,DoIT,65575,6
46536,OPERATING ENGINEER-GROUP C,WATER MGMT,71652,5.4
46537,POLICE OFFICER,POLICE,63149,8.2
46539,FIREFIGHTER-EMT,FIRE,62716,6
46540,POLICE OFFICER,POLICE,53926,6.7
46542,POLICE OFFICER,POLICE,51193,5.7
46543,ASST PROCUREMENT OFFICER,PROCUREMENT,82102,8.2
46544,LAW CLERK,LAW,20560,5.7
46549,FIREFIGHTER,FIRE,68950,5.9
46557,BOOTER - PARKING,FINANCE,50710,5.4
46559,POLICE OFFICER,POLICE,63644,6.4
46560,SANITATION LABORER,SANITATION,56584,5.4
46562,CAPTAIN-EMT,FIRE,91693,6.3
46563,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,72720,8.5
46567,POLICE OFFICER,POLICE,61785,6.4
46568,POLICE OFFICER,POLICE,61945,7.2
46569,FIREFIGHTER,FIRE,65779,7.2
46571,SAFETY SPECIALIST,AVIATION,49373,6.8
46574,POLICE OFFICER,POLICE,59716,8
46575,FIRE ENGINEER,FIRE,68409,5.4
46579,FIREFIGHTER-EMT,FIRE,64160,6.1
46580,POLICE OFFICER,POLICE,51693,5.8
46582,POLICE OFFICER,POLICE,61420,7.3
46583,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTATION,73586,6.6
46586,SERGEANT,POLICE,79938,5.7
46589,LIBRARIAN I,PUBLIC LIBRARY,54335,5.9
46590,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,76608,5.6
46591,LIEUTENANT-PARAMEDIC,FIRE,84252,6.5
46596,SERGEANT,POLICE,83255,5.4
46599,ASST CORPORATION COUNSEL,LAW,45866,6.7
46600,FIREFIGHTER,FIRE,61804,4.3
46604,LIEUTENANT-EMT,FIRE,79217,8.5
46606,FIREFIGHTER-EMT,FIRE,64821,6.7
46607,ACCOUNTING TECHNICIAN II,FINANCE,50601,6.4
46609,POLICE OFFICER,POLICE,63768,6.9
46611,SANITATION CLERK,SANITATION,50441,8.6
46619,CLERK IV,SANITATION,50102,6.3
46623,PUBLIC HEALTH NURSE IV,HEALTH,75751,7.1
46625,ACCOUNTANT IV,WATER MGMT,71770,4.6
46628,FIELD SERVICE SPECIALIST II,TRANSPORTATION,57694,4.8
46629,CROSSING GUARD,POLICE,15631,6.4
46631,FIREFIGHTER-EMT,FIRE,62128,5.7
46636,SANITATION LABORER,SANITATION,55873,5.8
46637,PARAMEDIC,FIRE,59715,5.8
46642,CHIEF ASST CORPORATION COUNSEL,LAW,97170,7.4
46643,POLICE OFFICER,POLICE,61946,3.7
46645,CAPTAIN-EMT,FIRE,94711,5.9
46646,ASPHALT LABORER,TRANSPORTATION,61115,7
46649,MANAGING DEPUTY COMPTROLLER,FINANCE,108880,7.4
46650,STEAMFITTER,AVIATION,75039,6.6
